acl 2.2.53-1
libvisio 0.1.6-5
libvorbis 1.3.6-1
libvpx 1.7.0-1
libvterm 0.1.git1.c4317a6-3
libwacom 0.32-1
libwbclient 4.9.4-1
libwebp 1.0.1-1
libwpd 0.10.2-1
libwpg 0.3.2-1
libwps 0.4.10-1
libx11 1.6.7-1
libxau 1.0.8-3
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.4-3
libxcursor 1.1.15-1
libxdamage 1.1.4-3
libxdg-basedir 1.2.0-4
libxdmcp 1.1.2-2
libxext 1.3.3-2
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.2-2
libxi 1.7.9-2
libxinerama 1.1.4-1
libxkbcommon 0.8.2-1
libxkbcommon-x11 0.8.2-1
libxkbfile 1.0.9-2
libxklavier 5.4-2
libxml2 2.9.8-6
libxmu 1.1.2-2
libxpm 3.5.12-2
libxrandr 1.5.1-2
libxrender 0.9.10-2
libxshmfence 1.3-1
libxslt 1.1.32+3+g32c88216-1
libxss 1.2.3-1
libxt 1.1.5-2
libxtst 1.2.3-2
libxv 1.0.11-2
libxvmc 1.0.10-2
libxxf86dga 1.1.4-2
libxxf86vm 1.1.4-2
libyaml 0.2.1-1
libzen 0.4.37-2
libzip 1.5.1-1
libzmf 0.0.2-5
licenses 20181104-1
lightdm 1:1.28.0-1
lightdm-gtk-greeter 1:2.0.6-1
linux 4.19.12.arch1-1
linux-api-headers 4.17.11-1
linux-firmware 20181218.0f22c85-1
llvm-libs 7.0.1-1
lm_sensors 3.5.0-1
lmdb 0.9.23-1
logrotate 3.15.0-1
lpsolve 5.5.2.5-3
lua 5.3.5-1
lua52 5.2.4-3
luajit 2.0.5-2
lvm2 2.02.183-1
lz4 1:1.8.3-1
lzo 2.10-2
m17n-db 1.8.0-2
m17n-lib 1.8.0-4
m4 1.4.18-2
mailcap 2.1.48+14+g5811758-1
make 4.2.1-3
man-db 2.8.4-1
man-pages 4.16-2
mdadm 4.0-2
mediainfo 18.08.1-1
mesa 18.3.1-1
minizip 1:1.2.11-3
mkinitcpio 25-1
mkinitcpio-busybox 1.29.3-1
moreutils 0.62-1
most 5.0.0a-7
mozilla-common 1.4-5
mpc 0.31-1
mpd 0.21.3-1
mpfr 4.0.1-1
mpg123 1.25.10-1
mpv 1:0.29.1-5
msgpack-c 3.1.1-1
msmtp 1.8.1-1
mtdev 1.1.5-2
mupdf 1.14.0-1
mutt 1.11.1-1
nano 3.2-1
ncmpcpp 0.8.2-5
ncurses 6.1-4
neofetch 5.0.0-1
neomutt 20180716-5
neon 0.30.2-3
neovim 0.3.1-2
netctl 1.19-1
nettle 3.4.1-1
networkmanager 1.14.5dev+17+gba83251bb-1
newsboat 2.13-1
nmap 7.70-2
nnn 2.1-1
notmuch-runtime 0.28-1
noto-fonts 20181024-1
npth 1.6-1
nspr 4.20-1
nss 3.41-1
ntfs-3g 2017.3.23-3
offlineimap 7.2.1-1
openal 1.19.1-1
opencore-amr 0.1.5-2
openjpeg2 2.3.0-3
openresolv 3.9.0-2
openssh 7.9p1-1
openssl 1.1.1.a-1
openssl-1.0 1.0.2.q-1
opus 1.3-1
orc 0.4.28-1
p11-kit 0.23.14-1
package-query 1.9-3
pacman 5.1.1-1
pacman-mirrorlist 20181205-1
pam 1.3.1-1
pambase 20171006-1
pandoc 2.5-12
pango 1.42.4-1
patch 2.7.6-7
pciutils 3.6.2-1
pcre 8.42-1
pcre2 10.32-1
perl 5.28.1-1
perl-data-dump 1.23-4
perl-encode-locale 1.05-4
perl-error 0.17027-1
perl-file-listing 6.04-5
perl-html-parser 3.72-6
perl-html-tagset 3.20-7
perl-http-cookies 6.04-3
perl-http-daemon 6.01-6
perl-http-date 6.02-5
perl-http-message 6.18-2
perl-http-negotiate 6.01-5
perl-io-html 1.001-4
perl-io-socket-ssl 2.060-1
perl-io-tty 1.12-7
perl-ipc-run 20180523.0-1
perl-json 2.97001-1
perl-libwww 6.36-1
perl-lwp-mediatypes 6.02-5
perl-lwp-protocol-https 6.07-2
perl-mailtools 2.20-2
perl-net-http 6.18-2
perl-net-ssleay 1.85-2
perl-time-duration 1:1.20-3
perl-timedate 2.30-5
perl-try-tiny 0.30-2
perl-uri 1.74-2
perl-www-robotrules 6.02-5
perl-xml-parser 2.44-7
pgadmin4 3.6-1
pinentry 1.1.0-4
pixman 0.36.0-1
pkgconf 1.5.4-1
polkit 0.115+24+g5230646-1
poppler 0.72.0-1
popt 1.16-10
portaudio 190600_20161030-2
postgresql 11.1-2
postgresql-libs 11.1-2
potrace 1.15-1
powertop 2.9-2
procps-ng 3.3.15-1
psmisc 23.2-1
pulseaudio 12.2-2
pulseaudio-alsa 2-4
pulsemixer 1.4.0-3
pygobject-devel 3.30.4-1
pygobject2-devel 2.28.7-2
pygtk 2.24.0-8
python 3.7.1-1
python-alembic 1.0.5-1
python-appdirs 1.4.3-2
python-asn1crypto 0.24.0-2
python-babel 2.6.0-2
python-bcrypt 3.1.5-1
python-beaker 1.10.0-2
python-blinker 1.4-4
python-cairo 1.18.0-1
python-cffi 1.11.5-2
python-chardet 3.0.4-2
python-click 7.0-1
python-colorama 0.4.1-1
python-cryptography 2.4.2-1
python-dateutil 2.7.5-1
python-dbus 1.2.8-2
python-dbus-common 1.2.8-2
python-decorator 4.3.0-2
python-docutils 0.14-2
python-editor 1.0.3-3
python-extras 1.0.0-3
python-fixtures 3.0.0-3
python-flask 1.0.2-2
python-flask-babelex 0.9.3.r2.gd699306-1
python-flask-gravatar 0.5.0-1
python-flask-htmlmin 1.5.0-1
python-flask-login 0.4.1-2
python-flask-mail 0.9.1-1
python-flask-migrate 2.3.1-1
python-flask-paranoid 0.2-1
python-flask-principal 0.4.0-1
python-flask-script 2.0.6-2
python-flask-security 3.0.0-1
python-flask-sqlalchemy 2.3.2-2
